Column1
"Adanero,""40.9423902938509,-4.5952181070"""
"Munomer-del-Peco Munomer-del-Peco,""40.8687373081974,-4.8873545429"""
"Munopepe Munopepe,""40.6328269509464,-4.8152766990"""
"Munosancho Munosancho,""40.92098473429,-5.029730141640"""
"Munotello Munotello,""40.5448012543711,-5.0301381414"""
"Narrillos-del-alamo Narrillos-del-alamo,""40.5761987122627,-5.4684141663"""
"Narrillos-del-Rebollar Narrillos-del-Rebollar,""40.6801591398572,-4.9597974894"""
"Narros-de-Salduena Narros-de-Salduena,""40.8749071899999,-4.8645202018"""
"Narros-del-Castillo Narros-del-Castillo,""40.8521631382408,-5.0485193618"""
"Narros-del-Puerto Narros-del-Puerto,""40.5401155796801,-4.9921191026"""
"Nava-de-Arevalo Nava-de-Arevalo,""40.9904320341844,-4.7578942482"""
"Nava-del-Barco Nava-del-Barco,""40.26607219262,-5.558141959686"""
"Navacepedilla-de-Corneja Navacepedilla-de-Corneja,""40.4872467950334,-5.1641537390"""
"Navadijos Navadijos,""40.430322593873,-5.08218395184"""
"Navaescurial Navaescurial,""40.4689038727589,-5.2632113950"""
"Navahondilla Navahondilla,""40.3386609485687,-4.4877095907"""
"Navalacruz Navalacruz,""40.4518335086816,-4.9788680502"""
"Navalmoral Navalmoral,""40.4640344283588,-4.7376332415"""
"Navalonguilla Navalonguilla,""40.2338905356262,-5.5274672918"""
"Navalosa Navalosa,""40.3928400413134,-4.8930961017"""
"Navalperal-de-Pinares Navalperal-de-Pinares,""40.5866589423186,-4.4462428019"""
"Navalperal-de-Tormes Navalperal-de-Tormes,""40.3454223492862,-5.2823437038"""
"Navaluenga Navaluenga,""40.3964677068808,-4.7014664588"""
"Navaquesera Navaquesera,""40.4243815566414,-4.9149069141"""
"Navarredonda-de-Gredos Navarredonda-de-Gredos,""40.3481745887959,-5.1156328906"""
"Navarredondilla Navarredondilla,""40.4410331815095,-4.8309397272"""
"Navarrevisca Navarrevisca,""40.3577983873303,-4.8640708731"""
"Navas-del-Marques-Las Navas-del-Marques-Las,""40.5949652190149,-4.3462610542"""
"Navatalgordo Navatalgordo,""40.4101481027973,-4.8515402133"""
"Navatejares Navatejares,""40.3219853230847,-5.5351806228"""
"Neila-de-San-Miguel Neila-de-San-Miguel,""40.427060045091,-5.65387011098"""
"Niharra Niharra,""40.5924804263573,-4.8428440240"""
"Ojos-Albos Ojos-Albos,""40.7219283273887,-4.5150368782"""
"Orbita Orbita,""40.9916694201985,-4.6596762514"""
"Oso-El Oso-El,""40.8456965409618,-4.7738487362"""
"Padiernos Padiernos,""40.6220095051271,-4.8664031977"""
"Pajares-de-Adaja Pajares-de-Adaja,""40.91239780106,-4.649096327504"""
"Palacios-de-Goda Palacios-de-Goda,""41.1041724557319,-4.7586636952"""
"Papatrigo Papatrigo,""40.8678594566479,-4.8367581528"""
"Parral-El Parral-El,""40.7936310605219,-4.9864513763"""
"Pascualcobo Pascualcobo,""40.6456391307745,-5.2668342107"""
"Pedro-Bernardo Pedro-Bernardo,""40.2358507916084,-4.9044045420"""
"Pedro-Rodriguez Pedro-Rodriguez,""40.9404658160634,-4.7813596888"""
"Peguerinos Peguerinos,""40.6573180022032,-4.2334777763"""
"Penalba-de-avila Penalba-de-avila,""40.8019501648871,-4.7157317078"""
"Piedrahita Piedrahita,""40.4743021624404,-5.3311329385"""
"Piedralaves Piedralaves,""40.3208130791447,-4.7140227267"""
"Poveda Poveda,""40.5712898607799,-5.0824562045"""
"Poyales-del-Hoyo Poyales-del-Hoyo,""40.1730534516448,-5.1577303908"""
"Pozanco Pozanco,""40.8021566160941,-4.6619482333"""
"Pradosegar Pradosegar,""40.5411058287163,-5.0741869830"""
"Puerto-Castilla Puerto-Castilla,""40.2733276765941,-5.6386770137"""
"Rasueros Rasueros,""41.016767808384,-5.07171314117"""
"Riocabado Riocabado,""40.8427134472604,-4.8004985015"""
"Riofrio Riofrio,""40.5447313696123,-4.7562492555"""
"Rivilla-de-Barajas Rivilla-de-Barajas,""40.8760207232542,-5.0140910091"""
"Salobral Salobral,""40.6102219691524,-4.8042976968"""
"Salvadios Salvadios,""40.8896447817973,-5.0712390921"""
"San-Bartolome-de-Bejar San-Bartolome-de-Bejar,""40.3979394111997,-5.6730015144"""
"San-Bartolome-de-Corneja San-Bartolome-de-Corneja,""40.4918838339565,-5.3727937693"""
"San-Bartolome-de-Pinares San-Bartolome-de-Pinares,""40.5429320338158,-4.4484014206"""
"San-Esteban-de-los-Patos San-Esteban-de-los-Patos,""40.7415090590508,-4.6306089987"""
"San-Esteban-de-Zapardiel San-Esteban-de-Zapardiel,""41.0996651426093,-4.8909621438"""
"San-Esteban-del-Valle San-Esteban-del-Valle,""40.2802421506746,-4.9639422052"""
